DISTRICT,District Code,Facility Code,Facility Name,ZONE,FACTYPE,MGA,FTYPE,LATITUDE,LONGITUDE,,
Rumphi,RU,403,Chitimba Health Centre,Northern,Health Centre,Government/public,Rural,-10.59808,34.17026,,
Rumphi,RU,421,Chisimuka Health Centre,Northern,Health Centre,Government/public,Rural,-10.76924,33.55751,,
Rumphi,RU,422,Jalawe Health Centre,Northern,Health Centre,Government/public,Rural,-10.73052,34.16172,,
Rumphi,RU,423,Lura Health Centre,Northern,Health Centre,Government/public,Rural,-10.72638,34.04408,,
Rumphi,RU,413,Mphompha Health Centre,Northern,Health Centre,Government/public,Rural,-11.00662,34.07305,,
Rumphi,RU,414,Mwazisi Health Centre,Northern,Health Centre,Government/public,Rural,-10.94356,33.5792,,
Rumphi,RU,415,Mzokoto Health Centre,Northern,Health Centre,Government/public,Rural,-10.90777,34.02735,,
Rumphi,RU,424,Ng'onga Health Centre,Northern,Dispensary,Government/public,Rural,-10.93922,33.94348,,
Rumphi,RU,426,Chilinda,Northern,Health Post,Government/public,Rural,-10.59101,33.80605,,
Rumphi,RU,427,Zunga Health Post,Northern,Health Post,Christian Health Association of Malawi (CHAM),Rural,-10.84628,34.21231,,
Rumphi,RU,404,Livingstonia Mission Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-10.60467,34.1109,,
Rumphi,RU,409,Luwuchi Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.68353,34.19353,,
Rumphi,RU,412,Mlowe Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.76429,34.19488,,
Rumphi,RU,416,Nthenje Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.91788,33.98786,,
Rumphi,RU,428,St. Patricks Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Urban,-11.02297,33.87319,,
Rumphi,RU,429,Eva Demaya Private Clinic,Northern,Clinic,Private for profit,Rural,-10.96002,33.64862,,
Rumphi,RU,430,Kasambala Private Clinic,Northern,Clinic,Private for profit,Rural,-10.77593,34.03908,,
Rumphi,RU,431,"Twisile Private Clinic, Nyondo",Northern,Clinic,Private for profit,Rural,-10.9776,33.74598,,
Rumphi,RU,432,Wongani Private Clinic,Northern,Clinic,Private for profit,Urban,-11.02379,33.85419,,
Rumphi,RU,435,Phwezi Private Clinic,Northern,Clinic,NGO,Rural,-10.88762,34.04446,,
Rumphi,RU,425,Rumphi BLM,Northern,Clinic,NGO,Urban,-11.02279,33.85523,,
Rumphi,RU,436,Mchenga Clinic,Northern,Clinic,Company,Rural,-10.69957,34.14036,,
,,,,,,,,,,,
Mzimba,MZ,538,Mzuzu Cental Hospital,Northern,Central Hospital,Government/public,Urban,-11.42792,33.9955,,
Mzimba,MZ,532,Mzimba District Hospital,Northern,District Hospital,Government/public,Urban,-11.89805,33.58421,,
Mzimba,MZ,509,Euthini Rural Hospital,Northern,Rural/Community Hospital,Government/public,Rural,-11.45836,33.41925,,
Mzimba,MZ,515,Katete Community Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-12.34592,33.61421,,
Mzimba,MZ,501,Bulala Health Centre,Northern,Health Centre,Government/public,Rural,-11.6781,33.44798,,
Mzimba,MZ,551,Bwengu Health Centre,Northern,Health Centre,Government/public,Urban,-11.06356,33.91646,,
Mzimba,MZ,571,Chikangawa Health Centre,Northern,Health Centre,Government/public,Rural,-11.84362,33.78759,,
Mzimba,MZ,502,Choma Health Centre,Northern,Health Centre,Government/public,Rural,-11.31318,33.99327,,
Mzimba,MZ,503,Edingeni Health Centre,Northern,Health Centre,Government/public,Rural,-12.04072,33.31295,,
Mzimba,MZ,506,Emfeni Health Centre,Northern,Health Centre,Government/public,Rural,-12.59406,33.60976,,
Mzimba,MZ,507,Emsizini Health Centre,Northern,Health Centre,Government/public,Rural,-11.44435,33.82485,,
Mzimba,MZ,508,Endindeni Health Centre,Northern,Health Centre,Government/public,Rural,-11.75818,33.5561,,
Mzimba,MZ,554,Engucwini Health Centre,Northern,Health Centre,Government/public,Rural,-11.19761,33.82314,,
Mzimba,MZ,406,Enukweni Health Centre,Northern,Health Centre,Government/public,Rural,-11.18005,33.88592,,
Mzimba,MZ,510,Hoho Health Centre,Northern,Health Centre,Government/public,Rural,-12.27815,33.6864,,
Mzimba,MZ,511,Jenda Health Centre,Northern,Health Centre,Government/public,Rural,-12.35206,33.54755,,
Mzimba,MZ,517,Kabuwa Health Centre,Northern,Health Centre,Government/public,Rural,-12.51726,34.07395,,
Mzimba,MZ,540,Kabwafu Health Centre,Northern,Health Centre,Government/public,Rural,-11.30869,33.52556,,
Mzimba,MZ,512,Kafukule Health Centre,Northern,Health Centre,Government/public,Rural,-11.4575,33.63395,,
Mzimba,MZ,514,Kamteteka Health Centre,Northern,Health Centre,Government/public,Rural,-11.83649,33.35892,,
Mzimba,MZ,557,Kamwe Health Centre,Northern,Health Centre,Government/public,Rural,-11.10265,33.78911,,
Mzimba,MZ,516,Khosolo Health Centre,Northern,Health Centre,Government/public,Rural,-12.4402,33.79133,,
Mzimba,MZ,572,Nkhuyukuyu Health Centre,Northern,Health Centre,Government/public,Rural,-11.22183,33.91461,,
Mzimba,MZ,519,Luvwere Health Centre,Northern,Health Centre,Government/public,Rural,-11.38921,33.6729,,
Mzimba,MZ,545,Luwawa Health Centre,Northern,Health Centre,Government/public,Rural,-12.11337,33.71943,,
Mzimba,MZ,520,Luwelezi Health Centre,Northern,Health Centre,Government/public,Rural,-12.48825,33.64119,,
Mzimba,MZ,560,Luzi Health Centre,Northern,Health Centre,Government/public,Rural,-10.99681,33.95583,,
Mzimba,MZ,522,Madede Health Centre,Northern,Health Centre,Government/public,Rural,-11.53894,33.29456,,
Mzimba,MZ,523,Malidade Health Centre,Northern,Health Centre,Government/public,Rural,-11.22926,33.49989,,
Mzimba,MZ,524,Manyamula Health Centre,Northern,Health Centre,Government/public,Rural,-11.94005,33.43945,,
Mzimba,MZ,573,Matuli Health Centre,Northern,Health Centre,Government/public,Rural,-11.48513,33.89613,,
Mzimba,MZ,525,Mbalachanda Health Centre,Northern,Health Centre,Government/public,Rural,-11.35738,33.37133,,
Mzimba,MZ,541,Mkoma Health Centre,Northern,Health Centre,Government/public,Rural,-12.61235,33.7824,,
Mzimba,MZ,526,Mpherembe Health Centre,Northern,Health Centre,Government/public,Rural,-11.28806,33.61431,,
Mzimba,MZ,527,Msese Health Centre,Northern,Health Centre,Government/public,Rural,-12.35951,33.74002,,
Mzimba,MZ,528,Mtende Health Centre,Northern,Health Centre,Government/public,Rural,-11.49724,33.54894,,
Mzimba,MZ,529,Mtwalo Health Centre,Northern,Health Centre,Government/public,Rural,-11.39671,33.74591,,
Mzimba,MZ,530,Mzalangwe Health Centre,Northern,Health Centre,Government/public,Rural,-11.61228,33.5651,,
Mzimba,MZ,533,Mzuzu Health Centre,Northern,Health Centre,Government/public,Urban,-11.46138,34.01518,,
Mzimba,MZ,534,Njuyu Health Centre,Northern,Health Centre,Government/public,Rural,-11.52455,33.69953,,
Mzimba,MZ,568,Thunduwike Health Centre,Northern,Health Centre,Government/public,Rural,-11.17665,33.57636,,
Mzimba,MZ,549,Ehehieni  Dispensary,Northern,Dispensary,Government/public,Rural,-12.2621,33.58912,,
Mzimba,MZ,553,Ekwaiweni Dispensary,Northern,Dispensary,Government/public,Rural,-11.42309,33.89766,,
Mzimba,MZ,559,Lusangazi Dispensary,Northern,Dispensary,Government/public,Rural,-11.49979,33.94291,,
Mzimba,MZ,543,Vibangalala Dispensary,Northern,Dispensary,Government/public,Rural,-12.23433,33.48619,,
Mzimba,MZ,556,"Escom, Mzuzu",Northern,Clinic,Government/public,Urban,-11.46287,34.02275,,
Mzimba,MZ,566,Mzuzu Central Prison,Northern,Clinic,Government/public,Urban,-11.46474,34.01991,,
Mzimba,MZ,574,Zolozolo Health Post,Northern,Health Post,Government/public,Urban,-11.4357,34.02394,,
Mzimba,MZ,505,Embangweni Mission Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-12.13665,33.47681,,
Mzimba,MZ,531,Mzambazi Community Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-11.42764,33.45031,,
Mzimba,MZ,504,Ekwendeni Mission Hospital,Northern,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,-11.37156,33.88342,,
Mzimba,MZ,537,St. Johns Hospital,Northern,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,-11.45161,34.02806,,
Mzimba,MZ,537,St. John of God Mental Hospita,Northern,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,-11.45571,34.01381,,
Mzimba,MZ,513,Kalikumbi Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-12.2038,33.33352,,
Mzimba,MZ,518,Lunjika Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-11.71451,33.6858,,
Mzimba,MZ,521,Mabiri Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-12.24624,33.43,,
Mzimba,MZ,546,Mhalaunda Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-12.05118,33.46656,,
Mzimba,MZ,535,Nkhorongo Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-11.3901,33.98514,,
Mzimba,MZ,575,Mary Mount Clinic,Northern,Clinic,Christian Health Association of Malawi (CHAM),Urban,-11.44262,34.03582,,
Mzimba,MZ,576,"WAFC Private Clinic, Banda, Be",Northern,Clinic,Private for profit,Rural,-12.35458,33.55284,,
Mzimba,MZ,552,Dr Musachi's Surgery,Northern,Clinic,Private for profit,Urban,-11.45771,34.01714,,
Mzimba,MZ,577,Kaswavipindi private Clinic,Northern,Clinic,Private for profit,Urban,-11.90057,33.59465,,
Mzimba,MZ,578,Masm Medi Clinic Katoto,Northern,Clinic,Private for profit,Urban,-11.47111,33.99535,,
Mzimba,MZ,579,"Chibanja Private Clinic, Mtika",Northern,Clinic,Private for profit,Urban,-11.45108,34.01178,,
Mzimba,MZ,565,Mumbwe Medical Centre,Northern,Clinic,Private for profit,Urban,-11.46115,34.02599,,
Mzimba,MZ,580,Vitumbiko Private Clinic,Northern,Clinic,Private for profit,Urban,-11.46986,34.06929,,
Mzimba,MZ,581,"Care Medical Centre, Mtambo, M",Northern,Clinic,Private for profit,Urban,-11.46036,34.00696,,
Mzimba,MZ,582,Macro Mzuzu,Northern,Clinic,NGO,Urban,-11.4649,34.00439,,
Mzimba,MZ,570,Mzimba BLM,Northern,Clinic,NGO,Urban,-11.89882,33.59402,,
Mzimba,MZ,550,Mzuzu BLM,Northern,Clinic,NGO,Urban,-11.45612,34.01638,,
Mzimba,MZ,583,Raiply Clinic,Northern,Clinic,Company,Rural,-11.91644,33.75598,,
Mzimba,MZ,584,Auction Holdings Clinic,Northern,Clinic,Private for profit,Urban,-11.46341,34.02053,,
Mzimba,MZ,585,Moyale Barracks Clinics,Northern,Clinic,Government/public,Urban,-11.45976,34.03829,,
Mzimba,MZ,586,Mzimba Prison,Northern,Clinic,Government/public,Urban,-11.9107,33.58414,,
Mzimba,MZ,587,Mzuzu Police Clinic,Northern,Clinic,Government/public,Urban,-11.46211,34.02489,,
Mzimba,MZ,588,Mzuzu Sobo Clinic,Northern,Clinic,Company,Urban,-11.41853,34.00645,,
Mzimba,MZ,589,Mzuzu University Clinic,Northern,Clinic,Private for profit,Urban,-11.42175,33.99564,,
Mzimba,MZ,590,SOS Medical Centre,Northern,Clinic,Private for profit,Urban,-11.47174,34.00439,,
,,,,,,,,,,,
Likoma,LK,602,St Mary's / Chizumulu Health C,Northern,Health Centre,Government/public,Rural,-12.02934,34.62425,,
Likoma,LK,601,Likoma/St Peters,Northern,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,-12.0648,34.73657,,
,,,,,,,,,,,
Kasungu,KU,1008,Kasungu District Hospital,Central East,District Hospital,Government/public,Urban,-13.03579,33.48041,,
Kasungu,KU,1005,Kaluluma Rural Hospital,Central East,Rural/Community Hospital,Government/public,Rural,-12.57759,33.51859,,
Kasungu,KU,1001,Bua Health Centre,Central East,Health Centre,Government/public,Rural,-13.29403,33.53859,,
Kasungu,KU,1024,Chamama Health Centre,Central East,Health Centre,Government/public,Rural,-12.924306,33.776861,,
Kasungu,KU,1002,Chamwabvi Health Centre,Central East,Health Centre,Government/public,Rural,-13.10757,33.68528,,
Kasungu,KU,1003,Chulu Health Centre,Central East,Health Centre,Government/public,Rural,-12.82192,33.30816,,
Kasungu,KU,1006,Kamboni Health Centre,Central East,Health Centre,Government/public,Rural,-13.30759,33.18189,,
Kasungu,KU,1007,Kapelula Health Centre,Central East,Health Centre,Government/public,Rural,-12.87767,33.87086,,
Kasungu,KU,1033,Kasalika Health Centre,Central East,Health Centre,Government/public,Urban,-13.03985,33.49866,,
Kasungu,KU,1009,Kawamba Health Centre,Central East,Health Centre,Government/public,Rural,-13.29575,33.3393,,
Kasungu,KU,1023,Khola Health Centre,Central East,Health Centre,Government/public,Rural,-13.34447,33.31649,,
Kasungu,KU,1020,Linyangwa Health Centre,Central East,Health Centre,Government/public,Rural,-13.14379,33.3005,,
Kasungu,KU,1027,Lodjwa Health Centre,Central East,Health Centre,Government/public,Rural,-12.41898,33.52947,,
Kasungu,KU,1028,Mdunga Health Centre,Central East,Health Centre,Government/public,Rural,-12.9931,33.8519,,
Kasungu,KU,1010,Mkhota Health Centre,Central East,Health Centre,Government/public,Rural,-13.56651,33.34348,,
Kasungu,KU,1012,Mpasazi Health Centre,Central East,Health Centre,Government/public,Rural,-12.583194,33.381861,,
Kasungu,KU,1011,Mtunthama Health Centre,Central East,Health Centre,Government/public,Rural,-13.03145,33.68209,,
Kasungu,KU,1034,Ntepa Health Centre,Central East,Health Centre,Government/public,Rural,-12.62202,33.32681,,
Kasungu,KU,1022,Ofesi Health Centre,Central East,Health Centre,Government/public,Rural,-12.77939,33.54904,,
Kasungu,KU,1014,Santhe Health Centre,Central East,Health Centre,Government/public,Rural,-13.46712,33.39378,,
Kasungu,KU,1015,Simlemba Health Centre,Central East,Health Centre,Government/public,Rural,-12.74081,33.6764,,
Kasungu,KU,1035,Thupa Health Centre,Central East,Health Centre,Government/public,Rural,-12.682667,33.393528,,
Kasungu,KU,1016,Wimbe Health Centre,Central East,Health Centre,Government/public,Rural,-12.99126,33.68694,,
Kasungu,KU,1017,Chisinga Dispensary,Central East,Dispensary,Government/public,Rural,-12.622028,33.326917,,
Kasungu,KU,1004,Dwangwa Dispensary,Central East,Dispensary,Government/public,Rural,-12.88142,33.4537,,
Kasungu,KU,1021,Gogode Dispensary,Central East,Dispensary,Government/public,Rural,-12.88773,33.56134,,
Kasungu,KU,1036,Lifupa Dispensary,Central East,Dispensary,Government/public,Rural,-13.048889,33.146944,,
Kasungu,KU,1037,Kapyanga Health Post,Central East,Health Post,Government/public,Rural,-12.82384,33.78842,,
Kasungu,KU,1013,Nkhamenya Hospital,Central East,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-12.56606,33.50098,,
Kasungu,KU,1019,KTFT/Mziza Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.27941,33.50405,,
Kasungu,KU,1012,Newa Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-12.58333,33.38174,,
Kasungu,KU,1032,St. Andrews Health Centre,Central East,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-13.03263,33.67114,,
Kasungu,KU,1038,St. Faith Anglican Clinic,Central East,Clinic,Christian Health Association of Malawi (CHAM),Rural,-12.92886,33.7952,,
Kasungu,KU,1039,"Kasalika Private Clinic, Chimb",Central East,Clinic,Private for profit,Urban,-13.03522,33.49927,,
Kasungu,KU,1040,"Titani Private Clinic, Chimpha",Central East,Clinic,Private for profit,Rural,-12.98491,33.69437,,
Kasungu,KU,1041,Yankho Private Clinic,Central East,Clinic,Private for profit,Urban,-13.04044,33.48111,,
Kasungu,KU,1042,Chimwemwe Private Clinic,Central East,Clinic,Private for profit,Rural,-12.56717,33.51149,,
Kasungu,KU,1043,"Mbalunji Private Clinic, Dhlam",Central East,Clinic,Private for profit,Rural,-12.81406,33.4339,,
Kasungu,KU,1044,Gogo Leya Private Clinic,Central East,Clinic,Private for profit,Rural,-12.70032,33.48899,,
Kasungu,KU,1045,Kalikene Private Clinic,Central East,Clinic,Private for profit,Urban,-13.0389,33.48138,,
Kasungu,KU,1046,"Chipulumutso Private Clinic, K",Central East,Clinic,Private for profit,Rural,-13.30101,33.52806,,
Kasungu,KU,1047,"St. Mark Private Clinic, Magom",Central East,Clinic,Private for profit,Urban,-13.04312,33.48049,,
Kasungu,KU,1048,"Chikumbutso Private Clinic, Ng",Central East,Clinic,Private for profit,Urban,-13.06516,33.43482,,
Kasungu,KU,1049,"Nkuriza, Stanilas, Inernos Pri",Central East,Clinic,Private for profit,Rural,-12.92741,33.79628,,
Kasungu,KU,1050,"Phanga, Chimongo J. Prince Hen",Central East,Clinic,Private for profit,Rural,-13.21163,33.50302,,
Kasungu,KU,1051,"Phiri, Harold K. S. Chisomo Pr",Central East,Clinic,Private for profit,Rural,-13.4379,33.38416,,
Kasungu,KU,1052,"Veruwa, Flyven P. Mphatso Zath",Central East,Clinic,Private for profit,Urban,-13.0675,33.48297,,
Kasungu,KU,1053,Kasungu BLM,Central East,Clinic,NGO,Urban,-13.04309,33.47858,,
Kasungu,KU,1054,Kamuzu Academy Clinic,Central East,Clinic,Company,Rural,-13.02938,33.68843,,
Kasungu,KU,1055,Kasungu Prison,Central East,Clinic,Government/public,Urban,-13.02095,33.45716,,
Kasungu,KU,1056,Internals Private Clinic,Central East,Clinic,Private for profit,Rural,-12.92744,33.79616,,
Kasungu,KU,1057,Lisa Private Clinic,Central East,Clinic,Private for profit,Rural,-13.43941,33.39342,,
Kasungu,KU,1058,Mwatitha Private Clinic,Central East,Clinic,Private for profit,Rural,-13.43552,33.3898,,
,,,,,,,,,,,
Nkhotakota,KK,1111,Nkhotakota District Hospital,Central East,District Hospital,Government/public,Urban,-12.92508,34.27939,,
Nkhotakota,KK,1104,Dwambazi Rural Hospital,Central East,Rural/Community Hospital,Government/public,Rural,-12.23405,33.99194,,
Nkhotakota,KK,1101,Benga Health Centre,Central East,Health Centre,Government/public,Rural,-13.36846,34.27404,,
Nkhotakota,KK,1102,Bua Health Centre,Central East,Health Centre,Government/public,Rural,-12.7967,34.20971,,
Nkhotakota,KK,1114,Katimbira Health Centre,Central East,Health Centre,Government/public,Rural,-12.75694,34.21737,,
Nkhotakota,KK,1116,Malowa Health Centre,Central East,Health Centre,Government/public,Rural,-13.1816,34.25165,,
Nkhotakota,KK,1107,Mpamantha Health Centre,Central East,Health Centre,Government/public,Rural,-13.06926,34.25224,,
Nkhotakota,KK,1117,Msenjere Health Centre,Central East,Health Centre,Government/public,Rural,-12.73248,34.17062,,
